StatsID,SeasonID,PlayerID,TeamID,AvgPoints,AvgAssists,AvgRebounds,OffRebounds,DefRebounds,GP,Net_Rating,TeamPlays,AssistPct,ShootingEff
100000,200000,300000,400000,5.7,16.1,3.1,0.18600000000000003,0.32299999999999995,55,16.1,0.1,0.113,0.479
100001,200000,300001,400001,2.3,1.5,0.3,0.078,0.151,15,12.3,0.175,0.048,0.43
100002,200000,300002,400002,0.8,1.0,0.4,0.105,0.102,9,-2.1,0.10300000000000001,0.14800000000000002,0.376
100003,200000,300003,400003,3.7,2.3,0.6,0.06,0.149,64,-8.7,0.16699999999999998,0.077,0.39899999999999997
100004,200000,300004,400004,2.4,2.4,0.2,0.109,0.179,27,-11.2,0.127,0.04,0.611
100005,200000,300005,400005,8.2,2.7,1.0,0.034,0.126,52,4.1,0.22,0.102,0.541
100006,200000,300006,400006,17.2,4.1,3.4,0.035,0.091,80,4.1,0.209,0.149,0.5589999999999999
100007,200000,300007,400006,14.9,8.0,1.6,0.095,0.183,77,3.3,0.222,0.087,0.52
100008,200000,300008,400007,5.7,1.6,1.3,0.036000000000000004,0.076,71,-0.3,0.172,0.141,0.539
100009,200000,300009,400008,6.9,1.5,3.0,0.018000000000000002,0.081,82,-1.2,0.177,0.262,0.557
100010,200000,300010,400009,2.4,0.4,1.2,0.0,0.053,9,-7.4,0.187,0.21600000000000003,0.47
100011,200000,300011,400010,0.0,0.0,0.0,0.0,0.0,1,-147.5,0.126,0.0,0.0
100012,200000,300012,400005,5.0,1.7,2.0,0.011000000000000001,0.098,13,6.6,0.14400000000000002,0.191,0.565
100013,200000,300013,400011,1.3,1.0,1.0,0.0,0.15,3,-57.4,0.115,0.375,0.5
100014,200000,300014,400012,1.7,1.8,0.3,0.044000000000000004,0.258,20,-3.9,0.175,0.067,0.444
100015,200000,300015,400012,2.6,2.1,0.5,0.106,0.102,28,-15.4,0.158,0.076,0.47200000000000003
100016,200000,300016,400013,4.4,6.6,0.8,0.107,0.20600000000000002,78,-6.6,0.11199999999999999,0.05,0.452
100017,200000,300017,400009,3.8,0.9,2.0,0.01,0.102,12,-1.4,0.188,0.436,0.588
100018,200000,300018,400001,6.0,1.6,0.8,0.071,0.08800000000000001,65,2.4,0.22,0.111,0.579
100019,200000,300019,400010,3.0,1.0,2.4,0.027000000000000003,0.085,67,-1.2,0.145,0.33899999999999997,0.515
100020,200000,300020,400014,15.0,4.6,1.8,0.057,0.107,72,-6.8,0.207,0.087,0.5329999999999999
100021,200000,300021,400015,5.1,4.1,0.6,0.107,0.21600000000000003,72,-2.0,0.218,0.07400000000000001,0.451
100022,200000,300022,400003,10.6,3.2,2.4,0.032,0.11199999999999999,28,-6.4,0.21600000000000003,0.161,0.51
100023,200000,300023,400009,7.1,11.1,0.9,0.10300000000000001,0.294,82,-5.9,0.114,0.042,0.5429999999999999
100024,200000,300024,400015,6.4,2.3,1.1,0.066,0.091,62,2.3,0.18100000000000002,0.1,0.521
100025,200000,300025,400016,2.6,2.8,0.4,0.11199999999999999,0.14300000000000002,46,-11.8,0.111,0.055999999999999994,0.535
100026,200000,300026,400017,7.8,2.2,1.7,0.024,0.07,68,-3.1,0.14300000000000002,0.092,0.505
100027,200000,300027,400018,3.6,1.1,1.7,0.031,0.085,61,-1.3,0.172,0.258,0.514
100028,200000,300028,400019,1.0,0.0,0.0,0.0,0.0,2,-53.7,0.185,0.0,0.258
100029,200000,300029,400019,12.5,3.1,2.1,0.021,0.092,66,1.9,0.188,0.106,0.519
100030,200000,300030,400006,3.9,1.2,1.5,0.031,0.087,80,5.1,0.18600000000000003,0.223,0.491
100031,200000,300031,400003,10.0,1.8,4.3,0.016,0.057,75,-7.7,0.18100000000000002,0.252,0.516
100032,200000,300032,400019,8.5,6.3,0.9,0.1,0.20800000000000002,82,-0.7,0.182,0.064,0.513
100033,200000,300033,400007,0.0,2.0,0.0,0.188,0.2,2,-39.9,0.213,0.0,0.0
100034,200000,300034,400018,18.1,10.1,3.4,0.08,0.225,57,-5.4,0.24,0.161,0.518
100035,200000,300035,400015,8.0,4.8,2.7,0.067,0.127,50,-0.2,0.16699999999999998,0.154,0.462
100036,200000,300036,400010,16.8,6.5,4.4,0.049,0.166,61,12.2,0.21100000000000002,0.2,0.5920000000000001
100037,200000,300037,400020,3.0,2.3,0.3,0.113,0.25,6,-42.1,0.263,0.071,0.319
100038,200000,300038,400021,2.4,0.8,0.0,0.057999999999999996,0.071,8,-19.6,0.231,0.0,0.42200000000000004
100039,200000,300039,400013,2.6,0.6,0.4,0.026000000000000002,0.049,5,17.5,0.192,0.065,0.38799999999999996
100040,200000,300040,400000,1.9,1.9,0.6,0.099,0.151,48,-0.9,0.163,0.11199999999999999,0.41100000000000003
100041,200000,300041,400014,14.0,8.4,1.9,0.057999999999999996,0.217,25,-3.3,0.22699999999999998,0.092,0.47100000000000003
100042,200000,300042,400020,18.2,6.4,1.9,0.10099999999999999,0.154,63,-10.3,0.297,0.11800000000000001,0.517
100043,200000,300043,400018,10.9,3.8,1.0,0.06,0.152,37,-5.9,0.264,0.091,0.493
100044,200000,300044,400022,2.8,2.1,0.3,0.092,0.159,47,-1.5,0.154,0.053,0.523
100045,200000,300045,400023,3.5,2.5,0.4,0.073,0.13699999999999998,62,-4.6,0.131,0.047,0.552
100046,200000,300046,400002,2.2,0.4,1.3,0.009000000000000001,0.046,27,-12.4,0.134,0.23399999999999999,0.479
100047,200000,300047,400007,2.5,0.7,0.6,0.051,0.059000000000000004,22,-10.3,0.244,0.146,0.37799999999999995
100048,200000,300048,400024,3.1,1.3,0.4,0.045,0.11800000000000001,56,-8.7,0.19,0.085,0.47600000000000003
100049,200000,300049,400011,4.5,2.9,1.0,0.132,0.14400000000000002,47,1.3,0.204,0.14,0.501
100050,200000,300050,400025,7.3,4.5,0.9,0.098,0.21,61,-8.6,0.222,0.08800000000000001,0.478
